dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.679356,7.256809,4.436431,3.884434,0.450182,-0.049881,5.820588
0.020000,7.749003,7.221985,4.514299,3.893402,0.448372,-0.090505,5.818498
0.020000,7.818740,7.186941,4.592346,3.902342,0.447036,-0.066762,5.816583
0.020000,7.888571,7.151689,4.670571,3.911259,0.445841,-0.059791,5.814843
0.020000,7.958504,7.116241,4.748974,3.920146,0.444334,-0.075316,5.813277
0.020000,8.028541,7.080610,4.827554,3.929018,0.443608,-0.036327,5.811885
0.020000,8.098690,7.044807,4.906311,3.937862,0.442183,-0.071214,5.810667
0.020000,8.168955,7.008844,4.985245,3.946695,0.441660,-0.026153,5.809622
0.020000,8.239343,6.972733,5.064355,3.955508,0.440671,-0.049449,5.808749
0.020000,8.309859,6.936487,5.143642,3.964311,0.440128,-0.027163,5.808049
0.020000,8.380509,6.900116,5.223104,3.973103,0.439582,-0.027290,5.807522
0.020000,8.451299,6.863634,5.302741,3.981886,0.439156,-0.021297,5.807167
0.020000,8.522235,6.827053,5.382555,3.990664,0.438935,-0.011050,5.806984
0.020000,8.593324,6.790384,5.462543,3.999440,0.438760,-0.008778,5.806973
0.020000,8.664571,6.753640,5.542708,4.008215,0.438753,-0.000326,5.807134
0.020000,8.735984,6.716833,5.623048,4.016993,0.438921,0.008362,5.807467
0.020000,8.807568,6.679976,5.703563,4.025775,0.439098,0.008851,5.807972
0.020000,8.879331,6.643081,5.784254,4.034566,0.439542,0.022236,5.808650
0.020000,8.951278,6.606160,5.865122,4.043366,0.440014,0.023599,5.809500
0.020000,9.023416,6.569227,5.946165,4.052178,0.440605,0.029520,5.810524
0.020000,9.095753,6.532293,6.027386,4.061008,0.441495,0.044514,5.811720
0.020000,9.168295,6.495372,6.108783,4.069850,0.442087,0.029603,5.813089
0.020000,9.241048,6.458476,6.190357,4.078720,0.443518,0.071564,5.814633
0.020000,9.314020,6.421619,6.272109,4.087603,0.444120,0.030091,5.816351
0.020000,9.387218,6.384813,6.354039,4.096517,0.445733,0.080658,5.818243
0.020000,9.460649,6.348073,6.436148,4.105452,0.446759,0.051282,5.820311
0.020000,9.534319,6.311411,6.518437,4.114417,0.448233,0.073704,5.822554
0.020000,9.608235,6.274841,6.600905,4.123415,0.449870,0.081864,5.824974
0.020000,9.682405,6.238377,6.683554,4.132435,0.451003,0.056626,5.827571
0.020000,9.756836,6.202032,6.766384,4.141502,0.453377,0.118713,5.830346
0.020000,9.831534,6.165822,6.849395,4.150588,0.454289,0.045617,5.833298
0.020000,9.906506,6.129760,6.932590,4.159720,0.456590,0.115045,5.836430
0.020000,9.981759,6.093861,7.015968,4.168882,0.458133,0.077122,5.839742
