dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.516054,9.119048,5.299280,4.124561,-0.451881,0.046631,5.822854
0.020000,8.589755,9.082397,5.381591,4.115567,-0.449691,0.109473,5.820588
0.020000,8.663216,9.045666,5.463723,4.106597,-0.448529,0.058086,5.818498
0.020000,8.736443,9.008868,5.545676,4.097656,-0.447041,0.074408,5.816583
0.020000,8.809444,8.972017,5.627451,4.088744,-0.445600,0.072069,5.814843
0.020000,8.882225,8.935125,5.709048,4.079850,-0.444686,0.045679,5.813277
0.020000,8.954793,8.898207,5.790468,4.070987,-0.443175,0.075548,5.811885
0.020000,9.027156,8.861274,5.871710,4.062135,-0.442613,0.028098,5.810667
0.020000,9.099319,8.824339,5.952777,4.053307,-0.441352,0.063053,5.809622
0.020000,9.171290,8.787416,6.033666,4.044491,-0.440812,0.026991,5.808749
0.020000,9.243076,8.750517,6.114380,4.035690,-0.440061,0.037565,5.808049
0.020000,9.314682,8.713654,6.194918,4.026899,-0.439564,0.024839,5.807522
0.020000,9.386117,8.676840,6.275280,4.018115,-0.439200,0.018204,5.807167
0.020000,9.457385,8.640088,6.355467,4.009337,-0.438887,0.015682,5.806984
0.020000,9.528493,8.603409,6.435478,4.000561,-0.438786,0.005007,5.806973
0.020000,9.599449,8.566815,6.515314,3.991786,-0.438776,0.000512,5.807134
0.020000,9.670257,8.530320,6.594974,3.983009,-0.438852,-0.003797,5.807467
0.020000,9.740925,8.493935,6.674459,3.974225,-0.439176,-0.016182,5.807972
0.020000,9.811457,8.457672,6.753768,3.965435,-0.439490,-0.015691,5.808650
0.020000,9.881861,8.421543,6.832900,3.956635,-0.440028,-0.026938,5.809500
0.020000,9.952142,8.385560,6.911857,3.947821,-0.440697,-0.033444,5.810524
0.020000,10.022305,8.349736,6.990637,3.938995,-0.441315,-0.030906,5.811720
0.020000,10.092357,8.314082,7.069239,3.930145,-0.442457,-0.057065,5.813089
0.020000,10.162302,8.278611,7.147665,3.921285,-0.443014,-0.027857,5.814633
0.020000,10.232147,8.243333,7.225913,3.912393,-0.444587,-0.078681,5.816351
0.020000,10.301895,8.208262,7.303983,3.903485,-0.445398,-0.040517,5.818243
0.020000,10.371553,8.173409,7.381874,3.894546,-0.446967,-0.078443,5.820311
0.020000,10.441126,8.138786,7.459585,3.885580,-0.448291,-0.066231,5.822554
0.020000,10.510618,8.104405,7.537117,3.876588,-0.449633,-0.067108,5.824974
0.020000,10.580034,8.070278,7.614468,3.867556,-0.451604,-0.098520,5.827571
0.020000,10.649378,8.036417,7.691638,3.858505,-0.452551,-0.047340,5.830346
0.020000,10.718656,8.002835,7.768626,3.849405,-0.454983,-0.121616,5.833298
0.020000,10.787871,7.969542,7.845432,3.840280,-0.456224,-0.062057,5.836430
0.020000,10.857027,7.936551,7.922054,3.831115,-0.458250,-0.101315,5.839742
0.020000,10.926129,7.903875,7.998492,3.821911,-0.460200,-0.097506,5.843233
0.020000,10.995180,7.871524,8.074746,3.812681,-0.461540,-0.067000,5.846906
0.020000,11.064184,7.839512,8.150814,3.803399,-0.464069,-0.126405,5.850761
0.020000,11.133145,7.807850,8.226696,3.794094,-0.465273,-0.060207,5.854799
0.020000,11.202065,7.776550,8.302391,3.784744,-0.467477,-0.110191,5.859019
0.020000,11.270949,7.745625,8.377898,3.775358,-0.469320,-0.092181,5.863424
0.020000,11.339799,7.715086,8.453217,3.765948,-0.470494,-0.058708,5.868013
0.020000,11.408618,7.684946,8.528347,3.756491,-0.472826,-0.116563,5.872788
0.020000,11.477409,7.655216,8.603287,3.747014,-0.473860,-0.051735,5.877748
0.020000,11.546174,7.625909,8.678037,3.737505,-0.475448,-0.079390,5.882895
0.020000,11.614916,7.597036,8.752596,3.727964,-0.477049,-0.080067,5.888229
0.020000,11.683637,7.568610,8.826965,3.718415,-0.477452,-0.020119,5.893750
0.020000,11.752339,7.540643,8.901141,3.708834,-0.479070,-0.080934,5.899459
0.020000,11.821024,7.513146,8.975126,3.699240,-0.479667,-0.029823,5.905356
0.020000,11.889695,7.486131,9.048919,3.689644,-0.479816,-0.007449,5.911442
0.020000,11.958351,7.459610,9.122520,3.680033,-0.480560,-0.037227,5.917715
0.020000,12.026995,7.433595,9.195928,3.670428,-0.480239,0.016077,5.924177
0.020000,12.095629,7.408098,9.269145,3.660831,-0.479856,0.019131,5.930828
0.020000,12.164253,7.383129,9.342170,3.651243,-0.479419,0.021849,5.937666
0.020000,12.232868,7.358701,9.415003,3.641681,-0.478084,0.066780,5.944692
0.020000,12.301475,7.334825,9.487646,3.632146,-0.476742,0.067103,5.951904
0.020000,12.370074,7.311512,9.560099,3.622648,-0.474931,0.090518,5.959303
0.020000,12.438667,7.288773,9.632363,3.613199,-0.472418,0.125688,5.966887
0.020000,12.507254,7.266618,9.704439,3.603805,-0.469698,0.135995,5.974656
0.020000,12.575835,7.245060,9.776329,3.594479,-0.466305,0.169652,5.982607
0.020000,12.644410,7.224108,9.848034,3.585230,-0.462444,0.193019,5.990739
0.020000,12.712980,7.203772,9.919555,3.576071,-0.457943,0.225079,5.999051
0.020000,12.781544,7.184063,9.990895,3.567016,-0.452757,0.259268,6.007541
0.020000,12.850102,7.164991,10.062057,3.558068,-0.447420,0.266872,6.016206
0.020000,12.918654,7.146566,10.133042,3.549253,-0.440721,0.334943,6.025044
